vertex,r2
1.000000000000000000e+01,4.028115868568420410e-01
3.960000000000000000e+02,4.580357670783996582e-01
1.351000000000000000e+03,5.072784423828125000e-01
1.539000000000000000e+03,4.840451478958129883e-01
1.726000000000000000e+03,5.296905040740966797e-01
1.801000000000000000e+03,7.186094522476196289e-01
1.855000000000000000e+03,5.459729433059692383e-01
1.935000000000000000e+03,8.741292357444763184e-01
1.989000000000000000e+03,8.842989802360534668e-01
2.046000000000000000e+03,5.264389514923095703e-01
2.062000000000000000e+03,5.363281369209289551e-01
2.136000000000000000e+03,5.437741279602050781e-01
2.279000000000000000e+03,6.103675365447998047e-01
2.280000000000000000e+03,5.994813442230224609e-01
2.416000000000000000e+03,3.624208569526672363e-01
2.504000000000000000e+03,6.659767031669616699e-01
2.574000000000000000e+03,4.899481534957885742e-01
2.867000000000000000e+03,6.192138195037841797e-01
2.871000000000000000e+03,5.620549321174621582e-01
3.200000000000000000e+03,7.118693590164184570e-01
3.540000000000000000e+03,4.479018449783325195e-01
3.577000000000000000e+03,5.132086873054504395e-01
3.633000000000000000e+03,6.915546059608459473e-01
3.788000000000000000e+03,6.606243252754211426e-01
3.879000000000000000e+03,5.085676908493041992e-01
3.906000000000000000e+03,3.262715339660644531e-01
3.927000000000000000e+03,5.089834332466125488e-01
3.947000000000000000e+03,4.575781226158142090e-01
3.973000000000000000e+03,5.342252254486083984e-01
4.018000000000000000e+03,5.032528042793273926e-01
4.165000000000000000e+03,5.089865922927856445e-01
4.197000000000000000e+03,5.343890190124511719e-01
4.213000000000000000e+03,4.353461265563964844e-01
4.354000000000000000e+03,4.611610770225524902e-01
4.366000000000000000e+03,4.558115601539611816e-01
4.369000000000000000e+03,4.389130473136901855e-01
4.432000000000000000e+03,5.197000503540039062e-01
4.437000000000000000e+03,5.490014553070068359e-01
4.463000000000000000e+03,5.529421567916870117e-01
4.476000000000000000e+03,5.785481929779052734e-01
4.491000000000000000e+03,5.012152194976806641e-01
4.532000000000000000e+03,5.677921175956726074e-01
4.639000000000000000e+03,5.300840139389038086e-01
4.655000000000000000e+03,4.941518306732177734e-01
4.662000000000000000e+03,5.172008275985717773e-01
4.726000000000000000e+03,4.431853890419006348e-01
4.842000000000000000e+03,5.111513137817382812e-01
4.923000000000000000e+03,6.013531684875488281e-01
4.958000000000000000e+03,6.634017229080200195e-01
4.980000000000000000e+03,6.421558260917663574e-01
4.995000000000000000e+03,6.765217781066894531e-01
5.058000000000000000e+03,5.616779327392578125e-01
5.328000000000000000e+03,5.323002338409423828e-01
5.339000000000000000e+03,6.997127532958984375e-01
5.385000000000000000e+03,6.746283173561096191e-01
5.468000000000000000e+03,6.297805905342102051e-01
5.493000000000000000e+03,5.620390772819519043e-01
5.519000000000000000e+03,6.583253145217895508e-01
5.545000000000000000e+03,5.152184367179870605e-01
5.568000000000000000e+03,6.551941633224487305e-01
5.632000000000000000e+03,7.180870771408081055e-01
5.683000000000000000e+03,6.641435623168945312e-01
5.728000000000000000e+03,5.603797435760498047e-01
5.743000000000000000e+03,6.331738233566284180e-01
5.798000000000000000e+03,6.969186067581176758e-01
5.936000000000000000e+03,6.107879877090454102e-01
5.949000000000000000e+03,6.797070503234863281e-01
6.142000000000000000e+03,5.564022660255432129e-01
6.186000000000000000e+03,4.644885659217834473e-01
6.338000000000000000e+03,4.543370604515075684e-01
6.359000000000000000e+03,4.776961803436279297e-01
6.412000000000000000e+03,6.605614423751831055e-01
6.510000000000000000e+03,6.298610568046569824e-01
6.524000000000000000e+03,5.620713233947753906e-01
6.555000000000000000e+03,6.306565999984741211e-01
6.556000000000000000e+03,6.530734300613403320e-01
6.584000000000000000e+03,6.281939744949340820e-01
6.661000000000000000e+03,6.229733824729919434e-01
6.671000000000000000e+03,5.644239783287048340e-01
6.707000000000000000e+03,6.235013604164123535e-01
6.750000000000000000e+03,5.378388166427612305e-01
6.768000000000000000e+03,5.868351459503173828e-01
6.815000000000000000e+03,6.937645673751831055e-01
6.825000000000000000e+03,6.956970095634460449e-01
6.836000000000000000e+03,6.213947534561157227e-01
6.866000000000000000e+03,5.321559906005859375e-01
7.008000000000000000e+03,5.069114565849304199e-01
7.018000000000000000e+03,5.391104817390441895e-01
7.031000000000000000e+03,6.329323053359985352e-01
7.045000000000000000e+03,6.255041360855102539e-01
7.193000000000000000e+03,7.489944696426391602e-01
7.198000000000000000e+03,7.186048030853271484e-01
7.244000000000000000e+03,8.078216910362243652e-01
7.261000000000000000e+03,5.996618270874023438e-01
7.354000000000000000e+03,5.354292392730712891e-01
7.406000000000000000e+03,5.961711406707763672e-01
7.463000000000000000e+03,7.235450744628906250e-01
7.709000000000000000e+03,8.318843841552734375e-01
7.717000000000000000e+03,5.944055318832397461e-01
7.722000000000000000e+03,6.562531590461730957e-01
7.743000000000000000e+03,7.277424335479736328e-01
7.748000000000000000e+03,6.818956136703491211e-01
7.872000000000000000e+03,7.949489951133728027e-01
7.990000000000000000e+03,8.100242614746093750e-01
7.994000000000000000e+03,7.669891119003295898e-01
8.114000000000000000e+03,7.825239896774291992e-01
8.125000000000000000e+03,7.293303012847900391e-01
8.228000000000000000e+03,5.241557359695434570e-01
8.277000000000000000e+03,6.082963347434997559e-01
8.501000000000000000e+03,5.845128297805786133e-01
8.612000000000000000e+03,5.834950208663940430e-01
8.677000000000000000e+03,6.150498986244201660e-01
8.893000000000000000e+03,4.290834665298461914e-01
8.914000000000000000e+03,4.911445975303649902e-01
8.952000000000000000e+03,5.244362354278564453e-01
8.962000000000000000e+03,5.426520705223083496e-01
9.010000000000000000e+03,4.762490987777709961e-01
9.077000000000000000e+03,5.522018671035766602e-01
9.216000000000000000e+03,6.938006281852722168e-01
9.300000000000000000e+03,7.238830327987670898e-01
9.313000000000000000e+03,5.956985950469970703e-01
9.405000000000000000e+03,5.243825316429138184e-01
9.487000000000000000e+03,6.455491781234741211e-01
9.538000000000000000e+03,6.372929811477661133e-01
9.580000000000000000e+03,7.178275585174560547e-01
9.584000000000000000e+03,6.033749580383300781e-01
9.649000000000000000e+03,5.434843897819519043e-01
9.715000000000000000e+03,5.299180746078491211e-01
9.721000000000000000e+03,4.967650771141052246e-01
9.724000000000000000e+03,5.761070847511291504e-01
