vertex,r2
0.000000000000000000e+00,5.889210104942321777e-01
1.000000000000000000e+00,9.188239574432373047e-01
2.000000000000000000e+00,8.380343914031982422e-01
3.000000000000000000e+00,7.451878190040588379e-01
4.000000000000000000e+00,8.450694084167480469e-01
5.000000000000000000e+00,7.959306836128234863e-01
6.000000000000000000e+00,6.342397332191467285e-01
8.000000000000000000e+00,5.882251858711242676e-01
9.000000000000000000e+00,6.775954961776733398e-01
1.000000000000000000e+01,5.123447179794311523e-01
1.100000000000000000e+01,4.652619957923889160e-01
1.200000000000000000e+01,5.981894135475158691e-01
1.300000000000000000e+01,6.489441990852355957e-01
1.400000000000000000e+01,6.662225723266601562e-01
1.500000000000000000e+01,6.211913824081420898e-01
1.600000000000000000e+01,6.362548470497131348e-01
1.700000000000000000e+01,5.324695110321044922e-01
1.800000000000000000e+01,4.990139007568359375e-01
1.900000000000000000e+01,3.964440226554870605e-01
2.000000000000000000e+01,3.895056247711181641e-01
6.800000000000000000e+01,6.013126373291015625e-01
6.900000000000000000e+01,6.032620072364807129e-01
7.000000000000000000e+01,6.289350390434265137e-01
7.100000000000000000e+01,6.333550214767456055e-01
7.200000000000000000e+01,5.484446883201599121e-01
7.300000000000000000e+01,3.894146084785461426e-01
7.400000000000000000e+01,4.755166172981262207e-01
7.500000000000000000e+01,6.310579776763916016e-01
7.600000000000000000e+01,5.982266664505004883e-01
7.700000000000000000e+01,4.931653141975402832e-01
7.800000000000000000e+01,4.250674247741699219e-01
7.900000000000000000e+01,4.821936488151550293e-01
8.000000000000000000e+01,5.063041448593139648e-01
8.100000000000000000e+01,5.710114240646362305e-01
8.200000000000000000e+01,5.608006715774536133e-01
8.300000000000000000e+01,5.766878128051757812e-01
8.400000000000000000e+01,4.775772094726562500e-01
8.500000000000000000e+01,5.131865739822387695e-01
8.600000000000000000e+01,6.038424372673034668e-01
8.700000000000000000e+01,6.646945476531982422e-01
8.800000000000000000e+01,7.045564651489257812e-01
8.900000000000000000e+01,6.961725950241088867e-01
9.000000000000000000e+01,6.340856552124023438e-01
9.100000000000000000e+01,5.240617990493774414e-01
9.200000000000000000e+01,4.846699237823486328e-01
9.300000000000000000e+01,4.977951049804687500e-01
9.400000000000000000e+01,5.172989368438720703e-01
9.500000000000000000e+01,5.105130672454833984e-01
9.600000000000000000e+01,8.047294020652770996e-01
9.700000000000000000e+01,6.753705739974975586e-01
9.800000000000000000e+01,7.114223241806030273e-01
9.900000000000000000e+01,6.583136320114135742e-01
1.000000000000000000e+02,7.437632083892822266e-01
1.010000000000000000e+02,7.485699653625488281e-01
1.020000000000000000e+02,6.826567649841308594e-01
1.030000000000000000e+02,6.858888864517211914e-01
1.040000000000000000e+02,6.923916339874267578e-01
1.050000000000000000e+02,7.830145359039306641e-01
1.060000000000000000e+02,8.301963806152343750e-01
1.070000000000000000e+02,7.950023412704467773e-01
1.080000000000000000e+02,7.857858538627624512e-01
1.090000000000000000e+02,8.271122574806213379e-01
1.100000000000000000e+02,7.434118390083312988e-01
1.110000000000000000e+02,7.870792150497436523e-01
1.120000000000000000e+02,7.757153511047363281e-01
1.130000000000000000e+02,4.564184546470642090e-01
1.140000000000000000e+02,5.272533893585205078e-01
1.150000000000000000e+02,5.549471974372863770e-01
1.160000000000000000e+02,6.952262520790100098e-01
1.170000000000000000e+02,7.169740796089172363e-01
1.180000000000000000e+02,6.676673889160156250e-01
1.190000000000000000e+02,7.006430625915527344e-01
1.200000000000000000e+02,6.510175466537475586e-01
1.210000000000000000e+02,6.335797309875488281e-01
1.220000000000000000e+02,4.861143231391906738e-01
1.230000000000000000e+02,5.614159107208251953e-01
1.620000000000000000e+02,0.000000000000000000e+00
1.630000000000000000e+02,0.000000000000000000e+00
1.640000000000000000e+02,0.000000000000000000e+00
1.650000000000000000e+02,6.706030368804931641e-01
1.660000000000000000e+02,6.374158859252929688e-01
1.670000000000000000e+02,5.321314334869384766e-01
1.680000000000000000e+02,5.655959844589233398e-01
1.690000000000000000e+02,5.564041733741760254e-01
1.700000000000000000e+02,4.885515570640563965e-01
1.710000000000000000e+02,5.217093229293823242e-01
1.720000000000000000e+02,5.815465450286865234e-01
1.730000000000000000e+02,6.027868986129760742e-01
1.740000000000000000e+02,5.797301530838012695e-01
1.750000000000000000e+02,6.087925434112548828e-01
1.760000000000000000e+02,6.544576883316040039e-01
1.770000000000000000e+02,5.994492769241333008e-01
1.780000000000000000e+02,5.677646398544311523e-01
1.790000000000000000e+02,5.422626733779907227e-01
1.800000000000000000e+02,7.094144821166992188e-01
1.810000000000000000e+02,7.315055131912231445e-01
1.820000000000000000e+02,6.628834009170532227e-01
1.830000000000000000e+02,6.013276576995849609e-01
1.840000000000000000e+02,6.006059646606445312e-01
1.850000000000000000e+02,5.039316415786743164e-01
1.860000000000000000e+02,4.508709311485290527e-01
1.870000000000000000e+02,3.540829420089721680e-01
2.350000000000000000e+02,7.049127221107482910e-01
2.360000000000000000e+02,6.929047107696533203e-01
2.370000000000000000e+02,6.781735420227050781e-01
2.380000000000000000e+02,5.860606431961059570e-01
2.390000000000000000e+02,5.777453184127807617e-01
2.400000000000000000e+02,5.491976737976074219e-01
2.410000000000000000e+02,5.218644142150878906e-01
2.890000000000000000e+02,6.936416625976562500e-01
2.900000000000000000e+02,6.829878687858581543e-01
2.910000000000000000e+02,6.275892257690429688e-01
2.920000000000000000e+02,5.248765945434570312e-01
2.930000000000000000e+02,5.396432876586914062e-01
2.940000000000000000e+02,5.631941556930541992e-01
2.950000000000000000e+02,5.742032527923583984e-01
3.420000000000000000e+02,7.316555976867675781e-01
3.430000000000000000e+02,6.887729167938232422e-01
3.440000000000000000e+02,6.248754262924194336e-01
3.450000000000000000e+02,5.579316616058349609e-01
3.460000000000000000e+02,5.485858917236328125e-01
3.470000000000000000e+02,5.468618869781494141e-01
3.480000000000000000e+02,5.167139768600463867e-01
3.940000000000000000e+02,6.941849589347839355e-01
3.950000000000000000e+02,6.355351209640502930e-01
3.960000000000000000e+02,6.225695610046386719e-01
3.970000000000000000e+02,5.253461003303527832e-01
3.980000000000000000e+02,5.351178646087646484e-01
3.990000000000000000e+02,5.817005634307861328e-01
4.450000000000000000e+02,5.654808282852172852e-01
4.460000000000000000e+02,6.488310694694519043e-01
4.470000000000000000e+02,5.851292610168457031e-01
4.480000000000000000e+02,5.004436969757080078e-01
4.490000000000000000e+02,4.844166040420532227e-01
4.950000000000000000e+02,5.176618099212646484e-01
4.960000000000000000e+02,5.989041328430175781e-01
4.970000000000000000e+02,5.423133373260498047e-01
4.980000000000000000e+02,4.647054076194763184e-01
4.990000000000000000e+02,4.531251192092895508e-01
5.440000000000000000e+02,5.900577306747436523e-01
5.450000000000000000e+02,6.095992326736450195e-01
5.460000000000000000e+02,5.378713011741638184e-01
5.470000000000000000e+02,4.232847690582275391e-01
5.480000000000000000e+02,4.283609986305236816e-01
5.920000000000000000e+02,5.728065967559814453e-01
5.930000000000000000e+02,6.225478649139404297e-01
5.940000000000000000e+02,4.719962477684020996e-01
5.950000000000000000e+02,4.399830102920532227e-01
6.390000000000000000e+02,4.806816577911376953e-01
6.400000000000000000e+02,5.747015476226806641e-01
6.410000000000000000e+02,4.946096539497375488e-01
6.420000000000000000e+02,4.335907101631164551e-01
6.850000000000000000e+02,4.852994680404663086e-01
6.860000000000000000e+02,5.341333150863647461e-01
6.870000000000000000e+02,5.565961599349975586e-01
6.880000000000000000e+02,4.748514294624328613e-01
7.300000000000000000e+02,4.789424538612365723e-01
7.310000000000000000e+02,5.302995443344116211e-01
7.320000000000000000e+02,6.048359870910644531e-01
7.330000000000000000e+02,4.871394038200378418e-01
7.340000000000000000e+02,5.521539449691772461e-01
7.740000000000000000e+02,5.053734779357910156e-01
7.750000000000000000e+02,5.612102746963500977e-01
7.760000000000000000e+02,6.550016403198242188e-01
7.770000000000000000e+02,5.333207845687866211e-01
8.170000000000000000e+02,4.947877526283264160e-01
8.180000000000000000e+02,5.352551937103271484e-01
8.190000000000000000e+02,6.634576916694641113e-01
8.200000000000000000e+02,6.156625747680664062e-01
8.590000000000000000e+02,5.406031608581542969e-01
8.600000000000000000e+02,5.462161302566528320e-01
8.610000000000000000e+02,6.175230145454406738e-01
8.620000000000000000e+02,7.028766870498657227e-01
8.630000000000000000e+02,5.290172696113586426e-01
9.000000000000000000e+02,5.905208587646484375e-01
